,Nom
0,a marca
1,à marca
2,à porta
3,à wengen
4,aab
5,ab yberg
6,abad
7,abate
8,abati
9,abatti garbani
10,abauzit
11,abbà
12,abbasow
13,abbé
14,abbé décaroux
15,abbé decarroux
16,abbet
17,abbey
18,abbiati
19,abbondio
20,abbondioli
21,abbt
22,abbühl
23,abderhalden
24,abegg
25,abegglen
26,abel
27,abele
28,abelin
29,abelmann
30,abend
31,abenthum
32,aberegg
33,aberer
34,aberger
35,aberle
36,aberlé
37,aberli
38,aberlin
39,abersohn
40,abert
41,abetel
42,abeti
43,abgottspon
44,abicht
45,abiéniste
46,abisch
47,abler
48,ablinger
49,ablitzer
50,ablondi
51,abner
52,about
53,abplanalp
54,abrach
55,abraham
56,abram
57,abramowicz
58,abramowitz
59,abrate
60,abravanel
61,abrecht
62,abrell
63,abresol
64,abrezol
65,abri
66,abriani
67,abriel
68,abry
69,absmaier
70,abt
71,abutille
72,abys
73,abächerli
74,acampora
75,acatos
76,accarisi
77,accatino
78,acchini
79,accola
80,accotto
81,acerbi
82,acestor
83,achard
84,achenbach
85,achenrainer
86,achermann
87,achikian
88,achini
89,achleitner
90,achmedow
91,acht
92,achten
93,achterberg
94,achtnich
95,achtziger
96,acker
97,ackeret
98,ackerknecht
99,ackermann
100,ackerschott
101,ackle
102,acklin
103,acksteiner
104,acquadro
105,acquistapace
106,acremann
107,actis
108,actis-datta
109,adalian
110,adam
111,adamek
112,adametz
113,adami
114,adamidi
115,adamina
116,adamini
117,adammann
118,adamoli
119,adams
120,adank
121,adatte
122,adatto
123,adda
124,addor
125,addy
126,ade
127,adé
128,adelmann
129,adelmeyer
130,adert
131,adimico
132,adler
133,adlung
134,adobati
135,adolf
136,adolph
137,ador
138,adorf
139,adorni
140,adout
141,adrian
142,adrion
143,adroit
144,aeberhard
145,aeberhardt
146,aeberli
147,aebersold
148,aebi
149,aebin
150,aebischer
151,aebisegger
152,aebli
153,aeby
154,aecherli
155,aegerter
156,aegler
157,aehrenbold
158,aellen
159,aellig
160,aelpler
161,aelter
162,aemisegger
163,aemissegger
164,aemmer
165,aenis
166,aenishänslin
167,aeple
168,aepli
169,aeppli
170,aerne
171,aerni
172,aerny
173,aerschmann
174,aeschbach
175,aeschbacher
176,aescher
177,aeschi
178,aeschimann
179,aeschlimann
180,aeschmann
181,affanni
182,affeltranger
183,affemann
184,affentauschegg
185,affentranger
186,afflerbach
187,affolter
188,affrini
189,agadoni
190,agasse
191,agassis
192,agassiz
193,agazzi
194,agenstein
195,agerer
196,aggeler
197,aggio
198,aghina
199,aghion
200,agid
201,agier
202,agliani
203,agliati
204,aglio
205,agnadelli
206,agnan
207,agnelli
208,agner
209,agnesina
210,agnetti
211,agnoli
212,agnolini
213,agoletti
214,agosta
215,agosti
216,agostinelli
217,agostinetti
218,agostini
219,agostoni
220,agra
221,agrati-marchetti
222,agrimonti
223,agster
224,agten
225,agthe
226,aguet
227,aguggia
228,aguiton
229,agustoni
230,ahicart
231,ahl
232,ahles
233,ahlgrimm
234,ahlmann
235,ahlswede
236,ahlsweh
237,ahnert
238,ahorn
239,ahr
240,ahrendt
241,ahrens
242,aiani
243,aiassa
244,aiber
245,aicardi
246,aichele
247,aicher
248,aichert
249,aichholz
250,aichinger
251,aichner
252,aigeldinger
253,aigeltinger
254,aigner
255,aigroz
256,ailinger
257,aimi
258,aimone
259,aiolfi
260,airaghi
261,airaldi
262,airoldi
263,airoli
264,aïsen
265,aisslinger
266,aivano
267,aïvazian
268,ajolfi
269,aker
270,akeret
271,akermann
272,akert
273,akesson
274,akinci
275,aklin
276,al khodairy
277,alabor
278,aladjem
279,alaimo
280,alani
281,alary
282,alb
283,alba
284,albagli
285,alban
286,albanese
287,albanesi
288,albani
289,albarée
290,albaret
291,albarin
292,albarou
293,albasini
294,albek
295,alber
296,alberati
297,alberelli
298,alberganti
299,albergati
300,albergatti
301,albergoni
302,alberici
303,alberico-zanetto
304,alberio
305,albers
306,albers-schönberg
307,albert
308,albertalli
309,albertano
310,albertanti
311,albertella
312,alberti
313,albertin
314,albertinelli
315,albertinetti
316,albertini
317,alberto
318,albertolli
319,albertone
320,albertoni
321,albeverio
322,albicker
323,albietz
324,albiez
325,albiker
326,albin
327,albinati
328,albini
329,albisati
330,albisetti
331,albisser
332,albizzati
333,albl
334,alblas
335,albold
336,albonico
337,alborghetti
338,albori
339,alborn
340,albrecht
341,albricci
342,albrici
343,albrigo
344,albrigoni
345,albrizzi
346,albus
347,alby
348,alchenberger
349,aldag
350,aldécoa
351,aldegani
352,aldegheri
353,aldeghi
354,alden
355,alder
356,aldi
357,aldighieri
358,aldis
359,aldovrandi
360,aldrighi
361,aldrovandi
362,alean
363,aleinick
364,alemann
365,alemanni
366,alena
367,alesch
368,alessandri
369,alessi
370,alessio
371,alesso
372,aletti
373,aletz
374,alexander
375,alexandre
376,alexandrovitch
377,alexandrow
378,alexath
379,alexis
380,alfa
381,alfare
382,alfarè
383,alfieri
384,alfonso
385,alfter
386,alge
387,alger
388,algisi
389,ali
390,aliesch
391,alig
392,alincic
393,alini
394,alinovi
395,alioli
396,alioth
397,alippi
398,aliprandi
399,alispach
400,aliverta
401,aliverti
402,allachwerdijew
403,allafranco
404,allaimby
405,allais
406,allaman
407,allamand
408,allamann
409,allanfranchini
410,allanson
411,allasia
412,allaz
413,alleata
414,allegra
415,allegranza
416,allegrezza
417,allegri
418,allegrini
419,allegro
420,allégroz
421,allegrucci
422,allemand
423,allemandi
424,allemann
425,allémann
426,allement
427,allenbach
428,allenspach
429,alleoni
430,allera
431,allera-longo
432,allet
433,allevi
434,allevione
435,alleygroz
436,allgaier
437,allgeier
438,allger
439,allgäuer
440,allgöwer
441,alliata
442,alliatta
443,allidi
444,allier
445,allimann
446,allio
447,alliod
448,allioli
449,allioni
450,allisson
451,allistein
452,allmandinger
453,allmann
454,allmeier
455,allmendinger
456,allombert
457,alluisetti
458,allweier
459,allweiss
460,almasy
461,almendinger
462,almenräder
463,almer
464,alméras
465,almerigi
466,aloë
467,alovisetti
468,alper
469,alperovisias
470,alpers
471,alphonse
472,alpi
473,alpiger
474,alpigini
475,alpinice
476,alpstäg
477,alster
478,alt
479,altdorfer
